timestamp,bluetooth_le-CE:C9:CF:DE:90:5A-Humidity-1
1636222657368,100
1636222657503,
1636222657592,100
1636222657593,
1636222657682,
1636222657773,100
1636222657818,
1636222657908,
1636222657998,100
1636222657999,
1636222658133,
1636222658223,100
1636222658313,
1636222658493,100
1636222658542,
1636222658627,100
1636222658628,
1636222658852,
1636222658854,100
1636222658897,
1636222658943,
1636222659078,100
1636222659167,
1636222659257,100
1636222659258,
1636222659438,
1636222659484,100
1636222659528,
1636222659573,
1636222659663,100
1636222659753,
1636222659798,
1636222659887,100
1636222659888,
1636222660023,
1636222660113,100
1636222660203,
1636222660294,100
1636222660338,
1636222660428,
1636222660517,100
1636222660518,
1636222660653,
1636222660745,100
1636222660833,
1636222660968,100
1636222661059,
1636222661148,100
1636222661149,
1636222661283,
1636222661418,100
1636222661463,
1636222661553,100
1636222661598,
1636222661688,
1636222661778,100
1636222661913,
1636222662003,100
1636222662004,
1636222662093,
1636222662183,100
1636222662228,
1636222662318,
1636222662408,100
1636222662543,
1636222662633,100
1636222662634,
1636222662723,
1636222662813,100
1636222662858,
1636222662949,
1636222663038,100
1636222663173,
1636222663263,100
1636222663354,
1636222663443,100
1636222663444,
1636222663578,
1636222663669,100
1636222663714,
1636222663758,
1636222663893,100
1636222663894,
1636222663983,
1636222664073,100
1636222664208,
1636222664342,100
1636222664343,
1636222664434,
1636222664523,100
1636222664614,
1636222664703,100
1636222664838,
1636222664929,100
1636222664934,
1636222665063,
1636222665153,100
1636222665154,
1636222665243,
1636222665378,100
1636222665379,
1636222665468,
1636222665557,100
1636222665558,
1636222665648,
1636222665783,100
1636222665873,
1636222665963,100
1636222666098,
1636222666188,100
1636222666189,
1636222666323,
1636222666413,100
1636222666414,
1636222666503,
1636222666638,100
1636222666639,
1636222666728,
1636222666818,100
1636222666819,
1636222666953,
1636222667046,100
1636222667133,
1636222667268,100
1636222667358,
1636222667448,100
1636222667583,
1636222667674,100
1636222667675,
1636222667762,
1636222667898,100
1636222667899,
1636222667988,
1636222668081,100
1636222668213,
1636222668303,100
1636222668394,
1636222668528,100
1636222668529,
1636222668618,
1636222668708,100
1636222668710,
1636222668843,
1636222668933,100
1636222668934,
1636222669023,
1636222669158,100
1636222669293,
1636222669339,100
1636222669340,
1636222669473,
1636222669562,100
1636222669564,
1636222669653,
1636222669788,100
1636222669877,
1636222669967,100
1636222669968,
1636222670103,
1636222670193,100
1636222670194,
1636222670283,
1636222670418,100
1636222670419,
1636222670508,
1636222670598,100
1636222670733,
1636222670823,100
1636222670913,
1636222671048,100
1636222671138,
1636222671228,100
1636222671229,
1636222671363,
1636222671453,100
1636222671454,
1636222671543,
1636222671678,100
1636222671679,
1636222671768,
1636222671859,100
1636222671994,
1636222672083,100
1636222672174,
1636222672308,100
1636222672309,
1636222672398,
1636222672488,100
1636222672623,
1636222672713,100
1636222672803,
1636222672937,100
1636222672938,
1636222673028,
1636222673118,100
1636222673253,
1636222673387,100
1636222673388,
1636222673478,
1636222673568,100
1636222673658,
1636222673793,100
1636222673794,
1636222673883,
1636222673973,100
1636222673975,
1636222674108,
1636222674198,100
1636222674199,
1636222674288,
1636222674378,100
1636222674379,
1636222674514,
1636222674603,100
1636222674604,
1636222674693,
1636222674829,100
1636222674918,
1636222675008,100
1636222675053,
1636222675143,
1636222675234,100
1636222675323,
1636222675458,100
1636222675548,
1636222675638,100
1636222675728,
1636222675773,
1636222675863,100
1636222675953,
1636222676088,100
1636222676089,
1636222676178,
1636222676268,100
1636222676313,
1636222676403,
1636222676493,100
1636222676583,
1636222676718,100
1636222676719,
1636222676808,
1636222676898,100
1636222676943,
1636222677033,
1636222677122,100
1636222677123,
1636222677213,
1636222677348,100
1636222677438,
1636222677528,100
1636222677573,
1636222677663,
1636222677753,100
1636222677843,
1636222677978,100
1636222677979,
1636222678068,
1636222678158,100
1636222678203,
1636222678338,
1636222678383,100
1636222678473,
1636222678657,100
1636222678658,
1636222678698,
1636222678788,100
1636222678833,
1636222678923,
1636222679014,100
1636222679148,
1636222679283,100
1636222679284,
1636222679418,
1636222679419,100
1636222679463,
1636222679553,
1636222679643,100
1636222679778,
1636222679868,100
1636222679869,
1636222679958,
1636222680048,100
1636222680093,
1636222680183,
1636222680273,100
1636222680274,
1636222680408,
1636222680498,100
1636222680589,
1636222680678,100
1636222680723,
1636222680813,
1636222680903,100
1636222680993,
1636222681128,100
1636222681129,
1636222681263,
1636222681308,100
1636222681353,
1636222681443,
1636222681533,100
1636222681535,
1636222681623,
1636222681759,100
1636222681848,
1636222681938,100
1636222681983,
1636222682074,
1636222682163,100
1636222682164,
1636222682253,
1636222682388,100
1636222682389,
1636222682478,
1636222682568,100
1636222682613,
1636222682703,
1636222682794,100
1636222682883,
1636222683018,100
1636222683019,
1636222683108,
1636222683198,100
1636222683243,
1636222683333,
1636222683423,100
1636222683513,
1636222683647,100
1636222683648,
1636222683738,
1636222683828,100
1636222683873,
1636222683963,
1636222684053,100
1636222684188,
1636222684278,100
1636222684368,
1636222684503,100
1636222684593,
1636222684683,100
1636222684684,
1636222684818,
1636222684908,100
1636222684998,
1636222685088,100
1636222685133,
1636222685223,
1636222685315,100
1636222685316,
1636222685403,
1636222685538,100
1636222685628,
1636222685718,100
1636222685763,
1636222685853,
1636222685943,100
1636222686033,
1636222686168,100
1636222686169,
1636222686258,
1636222686350,100
1636222686393,
1636222686483,
1636222686574,100
1636222686575,
1636222686663,
1636222686798,100
1636222686888,
1636222686979,100
1636222687023,
1636222687114,
1636222687203,100
1636222687294,
1636222687428,100
1636222687429,
1636222687518,
1636222687608,100
1636222687653,
1636222687743,
1636222687835,100
1636222687923,
1636222688058,100
1636222688059,
1636222688148,
1636222688238,100
1636222688284,
1636222688373,
1636222688463,100
1636222688464,
1636222688554,
1636222688689,100
1636222688779,
1636222688868,100
1636222688914,
1636222689003,
1636222689094,100
1636222689095,
1636222689183,
1636222689318,100
1636222689408,
1636222689499,100
1636222689588,
1636222689634,
1636222689723,100
1636222689813,
1636222689948,100
1636222689949,
1636222690038,
1636222690128,100
1636222690174,
1636222690263,
1636222690353,100
1636222690354,
1636222690443,
1636222690578,100
1636222690668,
1636222690758,100
1636222690803,
1636222690893,
1636222690983,100
1636222691073,
1636222691208,100
1636222691209,
1636222691298,
1636222691388,100
1636222691433,
1636222691523,
1636222691613,100
1636222691614,
1636222691703,
1636222691883,100
1636222691928,
1636222692018,100
1636222692063,
1636222692154,
1636222692243,100
1636222692244,
1636222692333,
1636222692468,100
1636222692469,
1636222692559,
1636222692648,100
1636222692694,
1636222692783,
1636222692873,100
1636222692874,
1636222692964,
1636222693188,100
1636222693189,
1636222693190,
1636222693369,100
1636222693413,
1636222693503,100
1636222693504,
1636222693638,
1636222693728,100
1636222693729,
1636222693818,
1636222693909,100
1636222693954,
1636222694043,
1636222694133,100
1636222694134,
1636222694223,
1636222694359,100
1636222694363,
1636222694448,
1636222694538,100
1636222694583,
1636222694673,
1636222694764,100
1636222694765,
1636222694899,
1636222694989,100
1636222695078,
1636222695169,100
1636222695213,
1636222695303,
1636222695396,100
1636222695574,
1636222695618,100
1636222695619,
1636222695708,
1636222695798,100
1636222695843,
1636222695933,
1636222696023,100
1636222696024,
1636222696203,
1636222696249,100
1636222696338,
1636222696429,100
1636222696473,
1636222696563,
1636222696653,100
1636222696654,
1636222696788,
1636222696878,100
1636222696968,
1636222697058,100
1636222697103,
1636222697193,
1636222697283,100
1636222697418,
1636222697508,100
1636222697510,
1636222697598,
1636222697689,100
1636222697734,
1636222697824,
1636222697914,100
1636222698049,
1636222698183,100
1636222698184,
1636222698228,
1636222698318,100
1636222698363,
1636222698498,
1636222698543,100
1636222698678,
1636222698769,100
1636222698770,
1636222698858,
1636222698948,100
1636222698993,
1636222699083,
1636222699173,100
1636222699174,
1636222699309,
1636222699398,100
1636222699399,
1636222699488,
1636222699578,100
1636222699623,
1636222699713,
1636222699803,100
1636222699805,
1636222699893,
1636222700028,100
1636222700029,
1636222700118,
1636222700208,100
1636222700255,
1636222700343,
1636222700434,100
1636222700435,
1636222700523,
1636222700658,100
1636222700748,
1636222700838,100
1636222700883,
1636222700974,
1636222701108,100
1636222701109,
1636222701155,
1636222701288,100
1636222701289,
1636222701379,
1636222701469,100
1636222701513,
1636222701604,
1636222701694,100
1636222701783,
1636222701919,100
1636222702008,
1636222702098,100
1636222702144,
1636222702233,
1636222702324,100
1636222702413,
1636222702548,100
1636222702638,
1636222702728,100
1636222702773,
1636222702863,
1636222702953,100
1636222702954,
1636222703043,
1636222703178,100
1636222703179,
1636222703268,
1636222703359,100
1636222703403,
1636222703493,
1636222703583,100
1636222703584,
1636222703673,
1636222703808,100
1636222703809,
1636222703898,
1636222704033,100
1636222704034,
1636222704124,
1636222704213,100
1636222704214,
1636222704303,
1636222704439,100
1636222704528,
1636222704618,87.0588235294118
1636222704663,
1636222704754,
1636222704843,100
1636222704844,
1636222704933,
1636222705068,100
1636222705069,
1636222705159,
1636222705248,100
1636222705249,
1636222705384,
1636222705474,100
1636222705608,
1636222705699,100
1636222705788,
1636222705878,100
1636222705923,
1636222706014,
1636222706103,100
1636222706104,
1636222706193,
1636222706329,100
1636222706418,
1636222706509,100
1636222706554,
1636222706643,
1636222706734,100
1636222706823,
1636222706958,100
1636222706959,
1636222707049,
1636222707139,100
1636222707188,
1636222707274,
1636222707363,100
1636222707364,
1636222707498,
1636222707588,100
1636222707589,
1636222707678,
1636222707769,100
1636222707813,
1636222707903,
1636222707994,100
1636222708083,
1636222708218,100
1636222708219,
1636222708308,
1636222708398,100
1636222708443,
1636222708533,
1636222708623,100
1636222708713,
1636222708849,100
1636222708938,
1636222709028,100
1636222709074,
1636222709164,
1636222709253,100
1636222709254,
1636222709343,
1636222709478,100
1636222709479,
1636222709569,
1636222709658,100
1636222709703,
1636222709794,
1636222709883,100
1636222709884,
1636222709974,
1636222710108,100
1636222710109,
1636222710198,
1636222710288,100
1636222710333,
1636222710424,
1636222710513,100
1636222710514,
1636222710603,
1636222710738,100
1636222710739,
1636222710828,
1636222710918,100
1636222710964,
1636222711054,
1636222711144,100
1636222711279,
1636222711368,100
1636222711369,
1636222711459,
1636222711594,100
1636222711683,
1636222711774,100
1636222711908,
1636222711999,100
1636222712088,
1636222712179,100
1636222712223,
1636222712313,
1636222712403,100
1636222712404,
1636222712538,
1636222712628,100
1636222712629,
1636222712718,
1636222712809,100
1636222712854,
1636222712943,
1636222713033,100
1636222713034,
1636222713169,
1636222713258,100
1636222713259,
1636222713349,
1636222713438,100
1636222713439,
1636222713573,
1636222713663,100
1636222713798,
1636222713888,100
1636222713978,
1636222714068,100
1636222714113,
1636222714204,
1636222714295,100
1636222714296,
1636222714428,
1636222714519,100
1636222714609,
1636222714698,100
1636222714744,
1636222714834,
1636222714924,100
1636222715059,
1636222715149,100
1636222715239,
1636222715328,100
1636222715373,
1636222715463,
1636222715554,100
1636222715688,
1636222715778,100
1636222715779,
1636222715868,
1636222716003,100
1636222716093,
1636222716183,100
1636222716184,
1636222716318,
1636222716408,100
1636222716409,
1636222716498,
1636222716634,100
1636222716723,
1636222716813,100
1636222716948,
1636222717038,100
1636222717128,
1636222717263,100
1636222717264,
1636222717354,
1636222717443,100
1636222717444,
1636222717578,
1636222717669,100
1636222717758,
1636222717893,100
1636222717894,
1636222718029,
1636222718074,100
1636222718075,
1636222718208,
1636222718298,100
1636222718299,
1636222718389,
1636222718524,100
1636222718613,
1636222718703,100
1636222718704,
1636222718838,
1636222718928,100
1636222718929,
1636222719018,
1636222719108,100
1636222719153,
1636222719243,
1636222719334,100
1636222719468,
1636222719558,100
1636222719648,
1636222719738,100
1636222719783,
1636222719874,
1636222719963,100
1636222719964,
1636222720099,
1636222720188,100
1636222720189,
1636222720280,
1636222720368,100
1636222720413,
1636222720503,
1636222720594,100
1636222720728,
1636222720818,95.6862745098039
1636222720819,
1636222720953,
1636222720998,74.9019607843137
1636222721043,
1636222721134,
1636222721223,100
1636222721224,
1636222721358,
1636222721448,100
1636222721449,
1636222721539,
1636222721628,100
1636222721673,
1636222721763,
1636222721854,100
1636222721855,
1636222721989,
1636222722078,97.6470588235294
1636222722079,
1636222722169,
1636222722259,100
1636222722303,
1636222722394,
1636222722483,100
1636222722484,
1636222722618,
1636222722708,100
1636222722709,
1636222722799,
1636222722889,100
1636222722934,
1636222723023,
1636222723114,100
1636222723115,
1636222723249,
1636222723339,100
1636222723429,
1636222723519,100
1636222723564,
1636222723654,
1636222723744,100
1636222723879,
1636222723968,100
1636222723969,
1636222724058,
1636222724193,100
1636222724194,
1636222724284,
1636222724374,100
1636222724375,
1636222724508,
1636222724598,100
1636222724599,
1636222724688,
1636222724823,100
1636222724824,
1636222724913,
1636222725003,100
1636222725138,
1636222725228,100
1636222725229,
1636222725319,
1636222725454,100
1636222725544,
1636222725634,100
1636222725769,
1636222725858,93.7254901960784
1636222725859,
1636222725949,
1636222726084,100
1636222726174,
1636222726263,100
1636222726264,
1636222726398,
1636222726488,100
1636222726489,
1636222726579,
1636222726714,100
1636222726803,
1636222726894,100
1636222727029,
1636222727119,100
1636222727120,
1636222727209,
1636222727343,92.156862745098
1636222727344,
1636222727434,
1636222727523,90.9803921568627
1636222727524,
1636222727659,
1636222727749,39.6078431372549
1636222727838,
1636222727974,16.8627450980392
1636222728063,
1636222728154,1.5686274509804
1636222728288,
1636222728379,2.35294117647059
1636222728469,
1636222728603,1.9607843137255
1636222728604,
1636222728694,
1636222728783,1.17647058823529
1636222728784,
1636222728918,
1636222729009,1.17647058823529
1636222729099,
1636222729189,1.17647058823529
1636222729234,
1636222729324,
1636222729414,2.35294117647059
1636222729549,
1636222729638,3.13725490196079
1636222729639,
1636222729728,
1636222729818,3.52941176470588
1636222729864,
1636222729954,
1636222730043,3.52941176470588
1636222730044,
1636222730178,
1636222730268,5.09803921568629
1636222730269,
1636222730358,
1636222730494,2.74509803921569
1636222730583,
1636222730673,1.9607843137255
1636222730674,
1636222730808,
1636222730899,2.74509803921569
1636222730989,
1636222731078,1.5686274509804
1636222731123,
1636222731214,
1636222731303,0.784313725490193
1636222731305,
1636222731439,
1636222731529,1.5686274509804
1636222731619,
1636222731709,1.5686274509804
1636222731754,
1636222731843,
1636222731933,1.5686274509804
1636222731934,
1636222732068,
1636222732159,1.9607843137255
1636222732249,
1636222732338,1.5686274509804
1636222732383,
1636222732474,
1636222732565,1.5686274509804
1636222732698,
1636222732789,1.17647058823529
1636222732878,
1636222732969,33.3333333333333
1636222733014,
1636222733103,
1636222733194,18.0392156862745
1636222733195,
1636222733329,
1636222733418,12.156862745098
1636222733419,
1636222733509,
1636222733598,18.0392156862745
1636222733643,
1636222733733,
1636222733824,17.6470588235294
1636222733958,
1636222734048,91.3725490196078
1636222734049,
1636222734139,
1636222734229,34.1176470588235
1636222734274,
1636222734363,
1636222734454,5.09803921568629
1636222734589,
1636222734678,1.17647058823529
1636222734679,
1636222734768,
1636222734859,1.9607843137255
1636222734904,
1636222734994,
1636222735083,1.17647058823529
1636222735084,
1636222735218,
1636222735309,0.784313725490193
1636222735398,
1636222735489,1.5686274509804
1636222735533,
1636222735624,
1636222735713,0.784313725490193
1636222735714,
1636222735848,
1636222735938,1.5686274509804
1636222735939,
1636222736028,
1636222736118,1.9607843137255
1636222736163,
1636222736254,
1636222736344,0.784313725490193
1636222736479,
1636222736569,1.5686274509804
1636222736659,
1636222736748,1.17647058823529
1636222736794,
1636222736883,
1636222736974,0.784313725490193
1636222737109,
1636222737199,1.9607843137255
1636222737200,
1636222737289,
1636222737379,1.17647058823529
1636222737424,
1636222737558,
1636222737604,1.5686274509804
1636222737739,
1636222737874,1.17647058823529
1636222737919,
1636222738009,5.49019607843138
1636222738054,
1636222738143,
1636222738234,0.784313725490193
1636222738369,
1636222738459,0.784313725490193
1636222738549,
1636222738639,1.17647058823529
1636222738683,
1636222738774,
1636222738863,1.17647058823529
1636222738864,
1636222738998,
1636222739088,1.9607843137255
1636222739089,
1636222739178,
1636222739314,0.784313725490193
1636222739404,
1636222739493,1.5686274509804
1636222739497,
1636222739628,
1636222739718,1.5686274509804
1636222739719,
1636222739810,
1636222739943,0.784313725490193
1636222739944,
1636222740034,
1636222740125,1.5686274509804
1636222740126,
1636222740258,
1636222740349,0.784313725490193
1636222740438,
1636222740574,1.5686274509804
1636222740575,
1636222740663,
